,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 1,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
2,,,"UMINTO GIRING WIBOWO, S.E., M.M., M.H.",L,BANTUL
3,,,"SITI NOOR AFIFAH, S.E.",P,BANTUL
4,,,JOKO B. PURNOMO,L,BANTUL
5,,,"Hj. DWI SUYAMTI, A.Md.Keb.",P,KOTA YOGYAKARTA
6,,,HARRY SANTOSA AZMARA,L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"5
PARTAI GOLONGAN KARYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Drs. H. AGUS SUBAGYO,L,BANTUL
2,,,"SLAMET BAGYA, S.E., S.IP.",L,BANTUL
3,,,"Hj. FARIANI SYARIFAH, S.T.",P,KOTA YOGYAKARTA
4,,,"SARONO, S.IP.",L,BANTUL
5,,,"WAHYU WIDAYATI, S.Pd.",P,SLEMAN
6,,,"MAYANG DYAH ANGGRAENI, S.Pd.",P,SLEMAN
JUMLAH LAKI-LAKI: 3 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 50%,,,,,
"6
PARTAI GERAKAN INDONESIA RAYA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Ir. AGUNG BRITANTONO,L,BANTUL
2,,,"GUNAWAN, S.H.",L,BANTUL
3,,,"TRI WAHYUNI, A.Md.",P,BANTUL
4,,,SRI LESTARI,P,SLEMAN
5,,,M. PRANASIK FAIHAAN,L,BANTUL
6,,,"DANANG WAHYU BROTO, S.E., M.Si.",L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"7
PARTAI DEMOKRAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"Ir. GATOT SETYO SUSILO, M.M.",L,BANTUL
2,,,"CAHYADI FITRI, S.E.",L,BANTUL
3,,,ZAIROTIN KHASANAH. S.Tp.,P,BANTUL
4,,,"Ir. PETRUS LADA RIGO, M.M.",L,KOTA YOGYAKARTA
5,,,"Ir. YULIUS MARZANI, M.Si.",L,BANTUL
6,,,"NINDYANI VERANITA, S.Pd.",P,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"8
PARTAI AMANAT NASIONAL
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"PARYANTO, S.Ag.",L,BANTUL
2,,,Ir. ATMAJI,L,BANTUL
3,,,"ANDARTI PUJIASTUTI, S.E.",P,BANTUL
4,,,FANI SATRIA,L,KOTA YOGYAKARTA
5,,,AMALIYA HASANATUN,P,BANTUL
6,,,M. GONDO RATANGIN,L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"9
PARTAI PERSATUAN PEMBANGUNAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,Drs. H. EDY SUSILA,L,BANTUL
2,,,Dra. SITI NURJANAH,P,BANTUL
3,,,"H. AHMAD RIFQI AL MUBARROK, S.S.",L,SLEMAN
4,,,BANGUN NILAI PASMASARI KHOP,P,BANTUL
5,,,dr. H. MUH. ANWAR PRANOWO,L,BANTUL
6,,,Drs. H. MUSLIH ILYAS,L,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"10
PARTAI HATI NURANI RAKYAT
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"ANHAR RUSLI, S.H.",L,KOTA YOGYAKARTA
2,,,HENDRA HARSONO,L,BANTUL
3,,,"OKTAVIA ZAMHARIN, S.Psi.",P,KOTA YOGYAKARTA
4,,,"SEKAR AYU PERMATA PUTRI, S.T.",P,KOTA YOGYAKARTA
